"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","576","1.3 - should add multiple items to cart","chromium","Mon Aug 04 13:29:27 GMT 2025","passed","Mon Aug 04 13:29:27 GMT 2025","1 -Shopping Cart Functionality","","",""
"","21","1.2 - should verify response headers","chromium","Mon Aug 04 13:29:18 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","1 - API Testing","","",""
"","141","1.1 - should check website accessibility","chromium","Mon Aug 04 13:29:18 GMT 2025","passed","Mon Aug 04 13:29:18 GMT 2025","1 - API Testing","","",""
"","250","2.4 -should update API data and validate response","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","2 - Mock API Testing","","",""
"","476","1.2 - should login successfully with valid credentials","chromium","Mon Aug 04 13:29:21 GMT 2025","passed","Mon Aug 04 13:29:22 GMT 2025","1 - Login Functionality","","",""
"","15","1.5 -should verify page content","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","1 - API Testing","","",""
"","124","1.3 -should handle non-existent endpoints","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","1 - API Testing","","",""
"","516","1.1 -should display all inventory items","chromium","Mon Aug 04 13:29:25 GMT 2025","passed","Mon Aug 04 13:29:26 GMT 2025","1 -Shopping Cart Functionality","","",""
"","25","2.3 -should fetch and validate API data structure","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","2 - Mock API Testing","","",""
"","625","1.6 -should continue shopping from cart","chromium","Mon Aug 04 13:29:28 GMT 2025","passed","Mon Aug 04 13:29:29 GMT 2025","1 -Shopping Cart Functionality","","",""
"","875","has title","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:20 GMT 2025","","","",""
"","544","1.2 - should add item to cart","chromium","Mon Aug 04 13:29:26 GMT 2025","passed","Mon Aug 04 13:29:27 GMT 2025","1 -Shopping Cart Functionality","","",""
"","565","1.4 -should view cart with added items","chromium","Mon Aug 04 13:29:27 GMT 2025","passed","Mon Aug 04 13:29:28 GMT 2025","1 -Shopping Cart Functionality","","",""
"","580","1.7 - should proceed to checkout","chromium","Mon Aug 04 13:29:29 GMT 2025","passed","Mon Aug 04 13:29:29 GMT 2025","1 -Shopping Cart Functionality","","",""
"","366","1.1 - should display login page correctly","chromium","Mon Aug 04 13:29:21 GMT 2025","passed","Mon Aug 04 13:29:21 GMT 2025","1 - Login Functionality","","",""
"","20","1.4 - should test response time","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","1 - API Testing","","",""
"","563","1.5 should remove item from cart","chromium","Mon Aug 04 13:29:28 GMT 2025","passed","Mon Aug 04 13:29:28 GMT 2025","1 -Shopping Cart Functionality","","",""
"","446","1.4.1 - should show error for Invalid username","chromium","Mon Aug 04 13:29:22 GMT 2025","passed","Mon Aug 04 13:29:23 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","1424","1.5 - should logout successfully","chromium","Mon Aug 04 13:29:24 GMT 2025","passed","Mon Aug 04 13:29:25 GMT 2025","1 - Login Functionality","","",""
"","443","1.4.1 - should show error for Empty password","chromium","Mon Aug 04 13:29:24 GMT 2025","passed","Mon Aug 04 13:29:24 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","432","1.4.1 - should show error for Empty username","chromium","Mon Aug 04 13:29:23 GMT 2025","passed","Mon Aug 04 13:29:24 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","631","get started link","chromium","Mon Aug 04 13:29:20 GMT 2025","passed","Mon Aug 04 13:29:21 GMT 2025","","","",""
"","443","1.4.1 - should show error for Invalid password","chromium","Mon Aug 04 13:29:23 GMT 2025","passed","Mon Aug 04 13:29:23 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","119","2.1 - should mock API response","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","2 - Mock API Testing","","",""
"","187","2.2 -Mock login API should return correct structure","chromium","Mon Aug 04 13:29:19 GMT 2025","passed","Mon Aug 04 13:29:19 GMT 2025","2 - Mock API Testing","","",""
"","436","1.3 - should show error for locked out user","chromium","Mon Aug 04 13:29:22 GMT 2025","passed","Mon Aug 04 13:29:22 GMT 2025","1 - Login Functionality","","",""
