"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","344","1.1 - should display login page correctly","chromium","Mon Aug 04 13:46:29 GMT 2025","passed","Mon Aug 04 13:46:29 GMT 2025","1 - Login Functionality","","",""
"","13","1.4 - should test response time","chromium","Mon Aug 04 13:46:25 GMT 2025","passed","Mon Aug 04 13:46:25 GMT 2025","1 - API Testing","","",""
"","17","1.2 - should verify response headers","chromium","Mon Aug 04 13:46:25 GMT 2025","passed","Mon Aug 04 13:46:25 GMT 2025","1 - API Testing","","",""
"","13","1.5 -should verify page content","chromium","Mon Aug 04 13:46:25 GMT 2025","passed","Mon Aug 04 13:46:25 GMT 2025","1 - API Testing","","",""
"","501","1.2 - should add item to cart","chromium","Mon Aug 04 13:46:34 GMT 2025","passed","Mon Aug 04 13:46:34 GMT 2025","1 -Shopping Cart Functionality","","",""
"","395","1.4.1 - should show error for Empty password","chromium","Mon Aug 04 13:46:32 GMT 2025","passed","Mon Aug 04 13:46:32 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","17","1.3 -should handle non-existent endpoints","chromium","Mon Aug 04 13:46:25 GMT 2025","passed","Mon Aug 04 13:46:25 GMT 2025","1 - API Testing","","",""
"","557","1.6 -should continue shopping from cart","chromium","Mon Aug 04 13:46:36 GMT 2025","passed","Mon Aug 04 13:46:36 GMT 2025","1 -Shopping Cart Functionality","","",""
"","604","get started link","chromium","Mon Aug 04 13:46:28 GMT 2025","passed","Mon Aug 04 13:46:29 GMT 2025","","","",""
"","42","2.4 -should update API data and validate response","chromium","Mon Aug 04 13:46:28 GMT 2025","passed","Mon Aug 04 13:46:28 GMT 2025","2 - Mock API Testing","","",""
"","411","1.4.1 - should show error for Empty username","chromium","Mon Aug 04 13:46:31 GMT 2025","passed","Mon Aug 04 13:46:32 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","125","2.1 - should mock API response","chromium","Mon Aug 04 13:46:25 GMT 2025","passed","Mon Aug 04 13:46:25 GMT 2025","2 - Mock API Testing","","",""
"","547","1.7 - should proceed to checkout","chromium","Mon Aug 04 13:46:36 GMT 2025","passed","Mon Aug 04 13:46:37 GMT 2025","1 -Shopping Cart Functionality","","",""
"","1379","1.5 - should logout successfully","chromium","Mon Aug 04 13:46:32 GMT 2025","passed","Mon Aug 04 13:46:33 GMT 2025","1 - Login Functionality","","",""
"","397","1.4.1 - should show error for Invalid password","chromium","Mon Aug 04 13:46:31 GMT 2025","passed","Mon Aug 04 13:46:31 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","32","2.3 -should fetch and validate API data structure","chromium","Mon Aug 04 13:46:28 GMT 2025","passed","Mon Aug 04 13:46:28 GMT 2025","2 - Mock API Testing","","",""
"","512","1.5 should remove item from cart","chromium","Mon Aug 04 13:46:35 GMT 2025","passed","Mon Aug 04 13:46:36 GMT 2025","1 -Shopping Cart Functionality","","",""
"","474","1.1 -should display all inventory items","chromium","Mon Aug 04 13:46:33 GMT 2025","passed","Mon Aug 04 13:46:34 GMT 2025","1 -Shopping Cart Functionality","","",""
"","444","has title","chromium","Mon Aug 04 13:46:28 GMT 2025","passed","Mon Aug 04 13:46:28 GMT 2025","","","",""
"","139","2.2 -Mock login API should return correct structure","chromium","Mon Aug 04 13:46:28 GMT 2025","passed","Mon Aug 04 13:46:28 GMT 2025","2 - Mock API Testing","","",""
"","415","1.4.1 - should show error for Invalid username","chromium","Mon Aug 04 13:46:30 GMT 2025","passed","Mon Aug 04 13:46:31 GMT 2025","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","512","1.4 -should view cart with added items","chromium","Mon Aug 04 13:46:35 GMT 2025","passed","Mon Aug 04 13:46:35 GMT 2025","1 -Shopping Cart Functionality","","",""
"","519","1.3 - should add multiple items to cart","chromium","Mon Aug 04 13:46:34 GMT 2025","passed","Mon Aug 04 13:46:35 GMT 2025","1 -Shopping Cart Functionality","","",""
"","401","1.3 - should show error for locked out user","chromium","Mon Aug 04 13:46:30 GMT 2025","passed","Mon Aug 04 13:46:30 GMT 2025","1 - Login Functionality","","",""
"","218","1.1 - should check website accessibility","chromium","Mon Aug 04 13:46:25 GMT 2025","passed","Mon Aug 04 13:46:25 GMT 2025","1 - API Testing","","",""
"","475","1.2 - should login successfully with valid credentials","chromium","Mon Aug 04 13:46:29 GMT 2025","passed","Mon Aug 04 13:46:30 GMT 2025","1 - Login Functionality","","",""
