"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","should verify page content","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","454","should login successfully with valid credentials","chromium","Mon Aug 04 13:21:49 GMT 2025","passed","Mon Aug 04 13:21:50 GMT 2025","Login Functionality","","",""
"","71","Mock login API should return correct structure","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","469","should add item to cart","chromium","Mon Aug 04 13:21:53 GMT 2025","passed","Mon Aug 04 13:21:54 GMT 2025","Shopping Cart Functionality","","",""
"","371","should show error for Empty username","chromium","Mon Aug 04 13:21:51 GMT 2025","passed","Mon Aug 04 13:21:51 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","380","should show error for Invalid password","chromium","Mon Aug 04 13:21:50 GMT 2025","passed","Mon Aug 04 13:21:51 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","53","should update API data and validate response","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","434","should display all inventory items","chromium","Mon Aug 04 13:21:53 GMT 2025","passed","Mon Aug 04 13:21:53 GMT 2025","Shopping Cart Functionality","","",""
"","18","should fetch and validate API data structure","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","486","should proceed to checkout","chromium","Mon Aug 04 13:21:56 GMT 2025","passed","Mon Aug 04 13:21:56 GMT 2025","Shopping Cart Functionality","","",""
"","461","should view cart with added items","chromium","Mon Aug 04 13:21:54 GMT 2025","passed","Mon Aug 04 13:21:55 GMT 2025","Shopping Cart Functionality","","",""
"","373","should show error for Invalid username","chromium","Mon Aug 04 13:21:50 GMT 2025","passed","Mon Aug 04 13:21:50 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","319","should display login page correctly","chromium","Mon Aug 04 13:21:49 GMT 2025","passed","Mon Aug 04 13:21:49 GMT 2025","Login Functionality","","",""
"","357","should show error for Empty password","chromium","Mon Aug 04 13:21:51 GMT 2025","passed","Mon Aug 04 13:21:51 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","357","should show error for locked out user","chromium","Mon Aug 04 13:21:50 GMT 2025","passed","Mon Aug 04 13:21:50 GMT 2025","Login Functionality","","",""
"","550","should continue shopping from cart","chromium","Mon Aug 04 13:21:55 GMT 2025","passed","Mon Aug 04 13:21:56 GMT 2025","Shopping Cart Functionality","","",""
"","495","should remove item from cart","chromium","Mon Aug 04 13:21:55 GMT 2025","passed","Mon Aug 04 13:21:55 GMT 2025","Shopping Cart Functionality","","",""
"","613","get started link","chromium","Mon Aug 04 13:21:48 GMT 2025","passed","Mon Aug 04 13:21:49 GMT 2025","","","",""
"","448","has title","chromium","Mon Aug 04 13:21:48 GMT 2025","passed","Mon Aug 04 13:21:48 GMT 2025","","","",""
"","499","should add multiple items to cart","chromium","Mon Aug 04 13:21:54 GMT 2025","passed","Mon Aug 04 13:21:54 GMT 2025","Shopping Cart Functionality","","",""
"","140","should check website accessibility","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","13","should test response time","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","1341","should logout successfully","chromium","Mon Aug 04 13:21:51 GMT 2025","passed","Mon Aug 04 13:21:53 GMT 2025","Login Functionality","","",""
"","114","should mock API response","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","25","should handle non-existent endpoints","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
"","14","should verify response headers","chromium","Mon Aug 04 13:21:45 GMT 2025","passed","Mon Aug 04 13:21:45 GMT 2025","API Testing","","",""
