"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1184","1.1 -should display all inventory items","chromium","Thu Apr 16 12:54:42 UTC 2026","passed","Thu Apr 16 12:54:43 UTC 2026","1 -Shopping Cart Functionality","","",""
"","10832","TC02 - Should scroll carousel to the RIGHT","chromium","Thu Apr 16 12:51:44 UTC 2026","passed","Thu Apr 16 12:51:55 UTC 2026","Makro Pro - Carousel Tests","","",""
"","27","1.3 -should handle non-existent endpoints","chromium","Thu Apr 16 12:51:22 UTC 2026","passed","Thu Apr 16 12:51:22 UTC 2026","1 - API Testing","","",""
"","535","1.1 - should check website accessibility","chromium","Thu Apr 16 12:51:22 UTC 2026","passed","Thu Apr 16 12:51:22 UTC 2026","1 - API Testing","","",""
"","1115","1.7 - should proceed to checkout","chromium","Thu Apr 16 12:54:49 UTC 2026","passed","Thu Apr 16 12:54:50 UTC 2026","1 -Shopping Cart Functionality","","",""
"","976","1.4.1 - should show error for Invalid password","chromium","Thu Apr 16 12:51:30 UTC 2026","passed","Thu Apr 16 12:51:31 UTC 2026","1 - Login Functionality > 1.4 - Invalid Login Attempts","","",""
"","1076","1.4 -should view cart with added items","chromium","Thu Apr 16 12:54:46 UTC 2026","passed","Thu Apr 16 12:54:47 UTC 2026","1 -Shopping Cart Functionality","","",""
"","27","2.4 -should update API data and validate response","chromium","Thu Apr 16 12:51:25 UTC 2026","passed","Thu Apr 16 12:51:25 UTC 2026","2 - Mock API Testing","","",""
"","1172","1.5 should remove item from cart","chromium","Thu Apr 16 12:54:47 UTC 2026","passed","Thu Apr 16 12:54:48 UTC 2026","1 -Shopping Cart Functionality","","",""
"","289","2.1 - should mock API response","chromium","Thu Apr 16 12:51:22 UTC 2026","passed","Thu Apr 16 12:51:22 UTC 2026","2 - Mock API Testing","","",""
"","963","1.1 - should display login page correctly","chromium","Thu Apr 16 12:51:26 UTC 2026","passed","Thu Apr 16 12:51:27 UTC 2026","1 - Login Functionality","","",""
